age,income,education,satisfaction
22,55698,1,3
71,89893,1,1
50,118949,0,1
21,36439,1,1
57,122844,2,3
56,154527,4,1
40,45335,0,3
25,91420,1,2
39,135435,1,4
63,158803,1,1
51,71307,3,5
27,168173,1,5
36,155808,3,5
43,113869,1,1
45,117097,0,1
58,177101,2,2
50,195146,4,3
35,152177,2,5
63,39920,2,3
72,86142,1,5
23,113775,2,2
50,39540,1,3
78,49324,4,5
40,93322,0,3
59,159512,3,4
43,89389,1,2
27,187589,3,1
56,180928,1,5
31,112634,3,1
19,141644,2,1
64,143455,4,5
52,173309,4,1
44,44741,4,3
43,199789,0,2
32,90500,3,5
59,89505,1,3
36,49257,0,4
63,158692,3,3
79,146200,1,4
54,35675,0,5
72,75331,1,5
43,193432,2,2
25,50343,3,4
22,62897,4,2
54,92805,1,3
32,195444,3,5
22,66858,1,5
37,120095,3,2
71,83158,0,4
33,111540,1,3
76,35622,0,1
22,69715,2,5
60,31695,0,4
23,69964,4,4
19,44134,2,2
19,151869,3,4
18,118775,2,5
42,148330,2,2
62,160535,1,1
25,35101,1,5
66,181985,1,3
77,139353,4,4
52,165274,3,2
73,77346,3,1
19,179273,4,2
72,84236,4,1
78,127564,0,3
46,139658,3,3
32,132170,2,5
42,84181,4,3
32,117686,3,5
66,126579,4,3
42,119327,4,3
35,25095,1,4
37,179369,4,1
18,65314,3,2
49,70447,2,4
36,69338,0,3
77,141823,1,3
27,163778,1,1
34,52601,1,2
20,157584,3,4
38,83307,1,5
64,30745,1,4
63,101774,2,3
38,168101,3,3
47,77668,3,3
74,182151,2,5
54,67090,1,2
39,175948,3,3
40,140243,2,2
50,148727,3,5
42,171130,3,5
41,162254,1,1
74,26436,1,3
43,128750,1,5
60,98276,1,4
62,27327,4,4
72,123527,3,2
50,153269,2,5
65,131771,3,2
21,134786,4,2
59,72036,3,5
37,25964,1,5
24,93541,4,4
61,41806,4,1
27,123306,1,2
72,94883,2,5
57,82085,0,2
36,176328,3,5
46,178606,3,3
57,21235,4,1
51,20307,1,5
34,44796,2,3
44,163813,3,2
66,130713,1,4
34,197335,0,5
39,149844,3,4
63,165297,0,2
74,84956,3,1
24,165381,3,2
47,154141,0,5
74,53343,2,3
37,94781,3,5
50,154047,3,3
68,139063,0,1
32,119225,0,2
53,121358,1,5
55,55182,3,4
29,70574,1,3
46,145959,2,2
73,47851,0,5
62,53859,2,2
78,140938,3,3
54,180231,2,4
36,61981,0,4
20,190282,1,3
73,43781,1,5
35,150766,1,5
59,198811,4,1
36,54873,0,3
21,189663,0,5
79,64904,4,2
22,113842,4,2
38,139836,3,1
43,151048,2,4
60,49753,4,4
45,107147,4,4
25,174827,0,2
33,105983,2,4
52,144192,0,3
19,120398,0,1
43,106776,0,4
30,113002,4,3
20,178976,3,3
71,194613,3,5
43,26694,4,3
49,134333,3,2
70,120724,0,1
60,139794,2,4
78,159841,1,3
27,170227,1,4
36,96966,4,3
72,117935,2,2
36,122277,2,1
36,185244,3,1
70,151588,0,5
22,151575,0,2
55,60507,0,4
71,177160,2,1
56,90233,0,1
54,49924,3,1
37,164228,4,5
31,146903,1,3
26,47241,4,1
31,30642,3,1
60,97890,3,1
40,179071,1,3
41,107387,0,1
66,88333,0,4
57,129269,0,5
42,43606,0,1
30,43303,4,4
37,153168,4,4
26,187036,3,1
60,168773,1,2
68,183162,1,2
73,94680,4,3
32,103120,2,4
60,191117,4,1
48,119203,4,3
75,144290,0,4
31,168307,4,1
43,142896,4,3
67,119436,2,5
20,169140,3,4
41,117983,0,4
38,62216,0,3
31,41904,1,3
75,38886,0,5
