@RELATION survey_sim

@ATTRIBUTE age NUMERIC
@ATTRIBUTE income NUMERIC
@ATTRIBUTE education NUMERIC
@ATTRIBUTE satisfaction NUMERIC

@DATA
19,104282,0,3
67,64060,4,4
69,115330,1,2
77,122797,1,2
30,156666,3,3
50,69149,1,2
22,149672,3,3
73,26742,0,4
47,175344,2,1
33,25396,4,4
74,50928,3,3
43,139739,3,4
63,87169,2,5
73,77291,1,3
51,162254,1,4
66,194550,2,3
71,55429,4,2
70,98587,3,2
41,162067,1,4
20,183997,1,4
71,108092,0,5
20,38343,3,5
25,68518,0,4
25,117781,4,5
44,179845,4,2
23,158518,4,1
76,192429,3,4
75,123965,3,5
25,186989,3,4
27,158294,0,3
76,30690,0,1
51,120210,3,5
24,194223,0,5
77,77997,4,1
58,66864,1,5
67,26035,1,2
24,23911,0,5
28,66907,4,5
68,78826,2,1
22,78331,4,2
22,113806,2,2
67,147787,3,5
20,164752,1,3
27,177435,1,1
25,199308,0,2
25,154237,0,5
26,172452,3,2
53,64072,3,1
67,24241,1,4
21,105262,4,2
45,130552,1,4
51,45338,3,1
77,21741,4,2
36,25709,1,5
35,94709,1,4
74,26622,2,4
34,125061,4,4
44,82470,3,1
32,161063,2,3
37,120823,0,2
34,129489,1,1
55,30621,3,4
30,190321,0,1
33,82742,0,5
27,118026,3,4
30,55755,4,5
72,187474,3,2
40,72131,0,1
38,35216,1,3
36,176908,2,1
72,109281,2,1
35,141659,1,4
71,156609,4,2
74,127673,0,5
49,165673,0,2
21,85530,0,3
59,132878,0,1
72,121062,4,2
74,93985,4,1
65,174143,3,4
79,189573,1,3
54,26463,4,2
64,142250,0,3
46,98966,1,4
44,137602,3,4
54,198843,3,1
34,74207,3,4
58,48579,4,3
27,55797,0,3
34,147245,4,4
24,136717,0,4
36,143985,4,4
71,89769,0,5
36,97327,1,5
75,72975,3,5
41,178328,2,3
55,197379,1,3
43,90890,1,1
18,35075,1,2
76,167124,3,4
64,22170,4,3
42,35735,2,2
58,49083,2,1
31,86818,2,5
53,119558,2,5
60,191179,3,5
48,192485,4,2
30,22135,4,4
73,120558,1,4
31,82645,3,5
69,191098,0,1
24,182933,4,3
60,164217,1,3
38,70267,4,4
49,110148,1,4
25,71181,2,2
50,59570,0,5
62,119268,2,1
21,73095,1,1
59,27569,0,1
25,23199,4,4
67,150229,3,2
64,139911,3,2
75,72530,0,4
78,113847,4,4
31,69225,4,1
70,56972,3,2
23,193879,0,5
50,169351,4,2
65,129277,1,5
25,144042,4,1
34,193023,3,5
74,89974,1,3
22,32512,1,3
56,80616,1,5
34,67476,3,4
46,108627,4,5
40,191550,0,1
38,112994,0,1
20,42481,1,3
75,187337,2,4
53,119035,1,4
61,121235,4,1
18,147972,4,4
34,72422,3,2
21,64162,2,1
21,112142,4,3
26,97327,0,2
64,115610,0,3
45,66865,3,5
61,27612,4,4
43,160742,3,2
43,156576,3,2
71,179610,0,4
56,146679,4,4
55,164432,2,2
26,100433,1,1
63,103290,3,4
28,84319,1,3
67,120955,2,3
39,147561,1,5
57,168368,3,1
53,166385,0,3
58,123105,3,2
60,84364,3,3
76,30206,3,1
35,84625,3,3
55,73165,2,1
47,144814,3,5
42,79868,0,1
69,177608,4,4
36,118957,2,3
69,143461,2,3
28,153058,2,3
62,81038,0,1
21,63630,2,2
70,176361,4,5
55,142507,0,1
22,188371,1,5
78,140118,3,1
21,130166,3,3
49,65613,0,1
23,192054,4,4
60,82361,2,5
37,46415,0,5
78,60525,3,4
22,57884,0,4
62,141646,0,3
36,86267,2,2
35,157308,4,2
56,92005,0,2
40,115662,3,1
79,32110,3,2
19,56672,0,2
53,193446,3,5
25,103871,4,4
29,152129,2,2
35,149592,3,5
48,156974,1,2
67,106561,0,2
