pixel_0,pixel_1,pixel_2,pixel_3,pixel_4,pixel_5,pixel_6,pixel_7,pixel_8,pixel_9,pixel_10,pixel_11,pixel_12,pixel_13,pixel_14,pixel_15,pixel_16,pixel_17,pixel_18,pixel_19,target
0.30991736,0.3677686,0.41735536,0.44214877,0.5289256,0.607438,0.6570248,0.677686,0.69008267,0.6859504,0.70247936,0.6983471,0.6942149,0.6983471,0.69008267,0.6942149,0.69008267,0.6983471,0.70247936,0.70247936,0
0.45454547,0.47107437,0.5123967,0.55785125,0.59504133,0.6404959,0.6818182,0.70247936,0.7107438,0.70247936,0.7107438,0.6983471,0.70247936,0.7066116,0.7066116,0.71487606,0.71487606,0.7066116,0.6983471,0.71487606,0
0.3181818,0.40082645,0.49173555,0.5289256,0.58677685,0.6570248,0.6818182,0.6859504,0.70247936,0.6983471,0.70247936,0.7066116,0.7066116,0.71487606,0.7107438,0.7066116,0.7066116,0.7066116,0.7231405,0.71900827,0
0.1983471,0.19421488,0.19421488,0.19421488,0.19008264,0.19008264,0.24380165,0.40495867,0.48347107,0.5165289,0.5371901,0.5661157,0.57438016,0.58677685,0.61157024,0.6322314,0.6404959,0.6570248,0.6735537,0.6942149,0
0.5,0.54545456,0.58264464,0.62396693,0.6487603,0.69008267,0.6942149,0.71487606,0.7231405,0.73140496,0.73966944,0.73966944,0.7644628,0.75619835,0.7644628,0.78512394,0.7933884,0.79752064,0.8140496,0.80991733,0
0.5495868,0.54545456,0.5413223,0.5371901,0.5371901,0.53305787,0.5289256,0.53305787,0.59090906,0.61157024,0.60330576,0.6280992,0.6198347,0.62396693,0.6446281,0.6652893,0.6652893,0.6694215,0.6735537,0.677686,0
0.3305785,0.30578512,0.3305785,0.35123968,0.42561984,0.5,0.60330576,0.6322314,0.6446281,0.6446281,0.6404959,0.6363636,0.6487603,0.661157,0.6652893,0.6652893,0.6735537,0.6818182,0.677686,0.6652893,0
0.12809917,0.18595041,0.24793388,0.3140496,0.38842976,0.46280992,0.5206612,0.55785125,0.59090906,0.62396693,0.6404959,0.6528926,0.6735537,0.6942149,0.7107438,0.72727275,0.72727275,0.74793386,0.74793386,0.74793386,0
0.24380165,0.29752067,0.3677686,0.45454547,0.49586776,0.5371901,0.5785124,0.60330576,0.61157024,0.6322314,0.6487603,0.6528926,0.6859504,0.71487606,0.73140496,0.7231405,0.76033056,0.75619835,0.76033056,0.75206614,0
0.38016528,0.44214877,0.48347107,0.54545456,0.58264464,0.6280992,0.6487603,0.677686,0.69008267,0.7107438,0.72727275,0.74793386,0.76033056,0.76033056,0.76859504,0.78099173,0.78099173,0.79752064,0.7644628,0.79752064,0
0.5413223,0.58677685,0.6404959,0.661157,0.6859504,0.6859504,0.69008267,0.6983471,0.6942149,0.69008267,0.6983471,0.72727275,0.74380165,0.75206614,0.75619835,0.7644628,0.76033056,0.76033056,0.76033056,0.76859504,1
0.6446281,0.69008267,0.70247936,0.70247936,0.7066116,0.71900827,0.72727275,0.73966944,0.71900827,0.71900827,0.7355372,0.74380165,0.74793386,0.74793386,0.75619835,0.76033056,0.76859504,0.76033056,0.75619835,0.76033056,1
0.6570248,0.677686,0.6983471,0.7066116,0.70247936,0.7107438,0.70247936,0.6818182,0.6818182,0.71487606,0.74793386,0.7644628,0.77272725,0.78099173,0.7768595,0.76859504,0.7768595,0.7768595,0.78099173,0.77272725,1
0.6280992,0.6446281,0.6735537,0.6983471,0.6983471,0.6983471,0.677686,0.69008267,0.6528926,0.6404959,0.6818182,0.7066116,0.72727275,0.73140496,0.74793386,0.73966944,0.74380165,0.74380165,0.74380165,0.74380165,1
0.6363636,0.6528926,0.6694215,0.677686,0.6859504,0.70247936,0.6983471,0.70247936,0.71487606,0.7107438,0.7231405,0.7355372,0.74793386,0.74793386,0.74380165,0.73140496,0.72727275,0.73140496,0.7355372,0.73140496,1
0.6694215,0.6818182,0.7066116,0.71487606,0.71900827,0.72727275,0.72727275,0.7355372,0.72727275,0.71900827,0.71487606,0.71487606,0.7355372,0.74380165,0.74793386,0.74793386,0.75619835,0.76033056,0.76033056,0.75619835,1
0.6280992,0.60330576,0.6280992,0.7231405,0.70247936,0.6942149,0.6983471,0.71487606,0.7355372,0.74380165,0.71487606,0.72727275,0.74793386,0.7768595,0.7892562,0.78512394,0.8016529,0.7933884,0.7892562,0.7933884,1
0.58677685,0.59504133,0.6818182,0.6942149,0.71487606,0.6983471,0.71487606,0.72727275,0.74380165,0.73966944,0.72727275,0.73966944,0.75619835,0.7644628,0.77272725,0.78099173,0.7892562,0.7768595,0.7768595,0.7933884,1
0.6818182,0.7066116,0.71900827,0.7107438,0.71487606,0.72727275,0.7355372,0.73966944,0.7355372,0.72727275,0.7355372,0.73966944,0.74380165,0.75206614,0.75619835,0.7644628,0.7644628,0.7644628,0.7644628,0.76033056,1
0.5661157,0.6198347,0.6570248,0.69008267,0.70247936,0.71487606,0.70247936,0.70247936,0.7231405,0.6818182,0.6487603,0.6570248,0.7107438,0.75206614,0.77272725,0.78512394,0.78099173,0.78099173,0.7892562,0.78512394,1
0.5785124,0.60330576,0.6322314,0.6652893,0.677686,0.7107438,0.7231405,0.73966944,0.73966944,0.74380165,0.76033056,0.76859504,0.7768595,0.7768595,0.77272725,0.7892562,0.7933884,0.8140496,0.822314,0.8264463,2
